### The result of the verage over time 
### d tau = 0.238644
### number of kessence update = 30
### initial time = 11.9322
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
  11.9322	        0	        0	5.61159e-21
  12.1708	-6.38135e-11	-1.5632e-09	5.61159e-21
  12.4142	-7.63358e-11	-1.3514e-09	6.89019e-10
  12.6625	-5.75276e-11	-1.10047e-09	1.29592e-09
  12.9158	-9.95311e-12	-7.8856e-10	1.82837e-09
  13.1741	6.50883e-11	-3.98263e-10	2.29529e-09
  13.4376	1.67245e-10	8.36065e-11	2.70467e-09
  13.7063	2.9688e-10	6.66792e-10	3.06369e-09
  13.9805	4.54889e-10	1.35826e-09	3.37879e-09
  14.2601	6.42543e-10	2.16277e-09	3.65575e-09
  14.5453	8.61377e-10	3.08335e-09	3.89974e-09
  14.8362	1.11309e-09	4.12164e-09	4.11539e-09
  15.1329	1.39948e-09	5.27831e-09	4.30685e-09
  15.4356	1.72239e-09	6.55324e-09	4.47786e-09
  15.7443	2.08364e-09	7.94578e-09	4.63173e-09
  16.0591	2.48504e-09	9.45495e-09	4.77145e-09
  16.3803	2.92836e-09	1.10795e-08	4.89969e-09
  16.7079	3.41527e-09	1.28183e-08	5.01885e-09
  17.0421	3.94741e-09	1.46699e-08	5.13107e-09
  17.3829	4.52632e-09	1.66333e-08	5.23826e-09
  17.7306	5.15349e-09	1.87074e-08	5.34217e-09
  18.0852	5.83035e-09	2.08914e-08	5.44433e-09
  18.4469	6.55824e-09	2.31849e-08	5.54615e-09
  18.8159	7.3385e-09	2.55874e-08	5.64888e-09
  19.1922	8.17239e-09	2.8099e-08	5.75367e-09
   19.576	9.06116e-09	3.072e-08	5.86154e-09
  19.9675	1.0006e-08	3.34512e-08	5.97342e-09
  20.3669	1.10082e-08	3.62934e-08	6.09019e-09
  20.7742	1.2069e-08	3.92479e-08	6.21261e-09
  21.1897	1.31895e-08	4.23165e-08	6.34142e-09
  21.6135	1.43711e-08	4.55011e-08	6.47728e-09
  22.0458	1.5615e-08	4.8804e-08	6.62083e-09
  22.4867	1.69226e-08	5.22279e-08	6.77264e-09
  22.9364	1.82952e-08	5.57758e-08	6.93328e-09
  23.3951	1.97344e-08	5.9451e-08	7.10327e-09
  23.8631	2.12416e-08	6.32572e-08	7.28312e-09
  24.3403	2.28184e-08	6.71984e-08	7.47332e-09
  24.8271	2.44665e-08	7.12789e-08	7.67436e-09
  25.3237	2.61878e-08	7.55034e-08	7.8867e-09
  25.8301	2.7984e-08	7.98768e-08	8.11081e-09
  26.3467	2.98571e-08	8.44044e-08	8.34717e-09
  26.8737	3.18094e-08	8.90918e-08	8.59622e-09
  27.4111	3.38429e-08	9.39449e-08	8.85846e-09
  27.9594	3.596e-08	9.897e-08	9.13437e-09
  28.5186	3.81632e-08	1.04174e-07	9.42444e-09
  29.0889	4.04552e-08	1.09563e-07	9.72918e-09
  29.6707	4.28386e-08	1.15145e-07	1.00491e-08
  30.2641	4.53164e-08	1.20927e-07	1.03848e-08
  30.8694	4.78916e-08	1.26917e-07	1.07368e-08
  31.4868	5.05674e-08	1.33124e-07	1.11057e-08
  32.1165	5.33472e-08	1.39557e-07	1.1492e-08
  32.7589	5.62347e-08	1.46224e-07	1.18965e-08
   33.414	5.92334e-08	1.53135e-07	1.23197e-08
  34.0823	6.23474e-08	1.603e-07	1.27625e-08
   34.764	6.55807e-08	1.67729e-07	1.32255e-08
  35.4592	6.89378e-08	1.75434e-07	1.37095e-08
  36.1684	7.2423e-08	1.83425e-07	1.42153e-08
  36.8918	7.60412e-08	1.91715e-07	1.47436e-08
