### The result of the verage over time 
### d tau = 0.238644
### number of kessence update = 1
### initial time = 11.9322
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
  11.9322	        0	        0	5.61159e-21
  12.1708	6.85319e-11	1.78217e-09	5.61159e-21
  12.4142	1.65687e-10	1.59579e-09	6.89019e-10
  12.6625	2.74544e-10	1.47998e-09	1.29592e-09
  12.9158	3.95183e-10	1.45443e-09	1.82837e-09
  13.1741	5.28643e-10	1.53464e-09	2.29529e-09
  13.4376	6.76627e-10	1.73191e-09	2.70467e-09
  13.7063	8.41303e-10	2.05414e-09	3.06369e-09
  13.9805	1.02515e-09	2.50646e-09	3.37879e-09
  14.2601	1.23082e-09	3.0919e-09	3.65575e-09
  14.5453	1.46105e-09	3.81178e-09	3.89974e-09
  14.8362	1.71861e-09	4.66619e-09	4.11539e-09
  15.1329	2.00621e-09	5.65425e-09	4.30685e-09
  15.4356	2.32647e-09	6.77444e-09	4.47786e-09
  15.7443	2.68193e-09	8.02479e-09	4.63173e-09
  16.0591	3.07499e-09	9.40306e-09	4.77145e-09
  16.3803	3.50792e-09	1.09069e-08	4.89969e-09
  16.7079	3.98285e-09	1.2534e-08	5.01885e-09
  17.0421	4.50178e-09	1.4282e-08	5.13107e-09
  17.3829	5.06661e-09	1.61489e-08	5.23826e-09
  17.7306	5.67907e-09	1.81329e-08	5.34217e-09
  18.0852	6.34084e-09	2.02324e-08	5.44433e-09
  18.4469	7.05346e-09	2.2446e-08	5.54615e-09
  18.8159	7.81843e-09	2.47729e-08	5.64888e-09
  19.1922	8.63715e-09	2.72124e-08	5.75367e-09
   19.576	9.51099e-09	2.97643e-08	5.86154e-09
  19.9675	1.04413e-08	3.24288e-08	5.97342e-09
  20.3669	1.14293e-08	3.52063e-08	6.09019e-09
  20.7742	1.24763e-08	3.80977e-08	6.21261e-09
  21.1897	1.35836e-08	4.11043e-08	6.34142e-09
  21.6135	1.47525e-08	4.42277e-08	6.47728e-09
  22.0458	1.59843e-08	4.74697e-08	6.62083e-09
  22.4867	1.72804e-08	5.08329e-08	6.77264e-09
  22.9364	1.86422e-08	5.43199e-08	6.93328e-09
  23.3951	2.00711e-08	5.79336e-08	7.10327e-09
  23.8631	2.15687e-08	6.16776e-08	7.28312e-09
  24.3403	2.31365e-08	6.55556e-08	7.47332e-09
  24.8271	2.47762e-08	6.95716e-08	7.67436e-09
  25.3237	2.64897e-08	7.37302e-08	7.8867e-09
  25.8301	2.82788e-08	7.8036e-08	8.11081e-09
  26.3467	3.01454e-08	8.24941e-08	8.34717e-09
  26.8737	3.20917e-08	8.711e-08	8.59622e-09
  27.4111	3.41198e-08	9.18894e-08	8.85846e-09
