### The result of the verage over time 
### d tau = 0.238644
### number of kessence update = 10
### initial time = 11.9322
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
  11.9322	        0	        0	5.61159e-21
  12.1708	-5.46882e-11	-1.3449e-09	5.61159e-21
  12.4142	-5.96311e-11	-1.15906e-09	6.89019e-10
  12.6625	-3.45849e-11	-9.32082e-10	1.29592e-09
  12.9158	1.80658e-11	-6.42248e-10	1.82837e-09
  13.1741	9.71806e-11	-2.72273e-10	2.29529e-09
  13.4376	2.02547e-10	1.90912e-10	2.70467e-09
  13.7063	3.34651e-10	7.56933e-10	3.06369e-09
  13.9805	4.94495e-10	1.43264e-09	3.37879e-09
  14.2601	6.83446e-10	2.22269e-09	3.65575e-09
  14.5453	9.0312e-10	3.12999e-09	3.89974e-09
  14.8362	1.15529e-09	4.1561e-09	4.11539e-09
  15.1329	1.44182e-09	5.30158e-09	4.30685e-09
  15.4356	1.76459e-09	6.56621e-09	4.47786e-09
  15.7443	2.12548e-09	7.94928e-09	4.63173e-09
  16.0591	2.52636e-09	9.4497e-09	4.77145e-09
  16.3803	2.96899e-09	1.10662e-08	4.89969e-09
  16.7079	3.45512e-09	1.27975e-08	5.01885e-09
  17.0421	3.98638e-09	1.46421e-08	5.13107e-09
  17.3829	4.56435e-09	1.6599e-08	5.23826e-09
  17.7306	5.19054e-09	1.8667e-08	5.34217e-09
  18.0852	5.86638e-09	2.08454e-08	5.44433e-09
  18.4469	6.59325e-09	2.31334e-08	5.54615e-09
  18.8159	7.37248e-09	2.55307e-08	5.64888e-09
  19.1922	8.20534e-09	2.80374e-08	5.75367e-09
   19.576	9.09311e-09	3.06538e-08	5.86154e-09
  19.9675	1.0037e-08	3.33804e-08	5.97342e-09
  20.3669	1.10382e-08	3.62181e-08	6.09019e-09
  20.7742	1.20981e-08	3.91684e-08	6.21261e-09
  21.1897	1.32177e-08	4.22327e-08	6.34142e-09
  21.6135	1.43984e-08	4.54131e-08	6.47728e-09
  22.0458	1.56415e-08	4.87118e-08	6.62083e-09
  22.4867	1.69483e-08	5.21316e-08	6.77264e-09
  22.9364	1.83202e-08	5.56753e-08	6.93328e-09
  23.3951	1.97587e-08	5.93462e-08	7.10327e-09
  23.8631	2.12652e-08	6.31482e-08	7.28312e-09
  24.3403	2.28415e-08	6.7085e-08	7.47332e-09
  24.8271	2.4489e-08	7.11611e-08	7.67436e-09
  25.3237	2.62097e-08	7.5381e-08	7.8867e-09
  25.8301	2.80055e-08	7.97497e-08	8.11081e-09
  26.3467	2.98782e-08	8.42725e-08	8.34717e-09
  26.8737	3.18301e-08	8.8955e-08	8.59622e-09
  27.4111	3.38632e-08	9.38031e-08	8.85846e-09
  27.9594	3.59801e-08	9.88229e-08	9.13437e-09
  28.5186	3.8183e-08	1.04021e-07	9.42444e-09
  29.0889	4.04748e-08	1.09405e-07	9.72918e-09
  29.6707	4.2858e-08	1.14981e-07	1.00491e-08
  30.2641	4.53356e-08	1.20757e-07	1.03848e-08
