### The result of the verage over time 
### d tau = 0.1875
### number of kessence update = 10
### initial time = 11.9322
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
  11.9322	        0	        0	1.37537e-19
  12.1197	-1.37146e-10	-4.31436e-09	1.37537e-19
  12.3072	-2.29726e-10	-3.91664e-09	5.34878e-10
  12.4947	-2.91959e-10	-3.52824e-09	1.01316e-09
  12.6822	-3.27585e-10	-3.13559e-09	1.43864e-09
  12.8697	-3.39461e-10	-2.72808e-09	1.81761e-09
  13.0572	-3.29801e-10	-2.29773e-09	2.15558e-09
  13.2447	-3.00315e-10	-1.83867e-09	2.4574e-09
  13.4322	-2.52331e-10	-1.34671e-09	2.72732e-09
  13.6197	-1.8688e-10	-8.18996e-10	2.96909e-09
  13.8072	-1.04765e-10	-2.53692e-10	3.186e-09
  13.9947	-6.61949e-12	3.50214e-10	3.38098e-09
  14.1822	1.07052e-10	9.93107e-10	3.55657e-09
  14.3697	2.35843e-10	1.67488e-09	3.71507e-09
  14.5572	3.79416e-10	2.39508e-09	3.85847e-09
  14.7447	5.37487e-10	3.15295e-09	3.98855e-09
  14.9322	7.09807e-10	3.94756e-09	4.10691e-09
  15.1197	8.96153e-10	4.77782e-09	4.21493e-09
  15.3072	1.09632e-09	5.64256e-09	4.31386e-09
  15.4947	1.31011e-09	6.54056e-09	4.40481e-09
  15.6822	1.53733e-09	7.47055e-09	4.48876e-09
  15.8697	1.77781e-09	8.43128e-09	4.56659e-09
  16.0572	2.03135e-09	9.42149e-09	4.63908e-09
  16.2447	2.29776e-09	1.044e-08	4.70692e-09
  16.4322	2.57687e-09	1.14855e-08	4.77073e-09
  16.6197	2.86848e-09	1.2557e-08	4.83107e-09
  16.8072	3.17239e-09	1.36533e-08	4.88843e-09
  16.9947	3.48843e-09	1.47735e-08	4.94326e-09
  17.1822	3.81639e-09	1.59164e-08	4.99593e-09
  17.3697	4.15607e-09	1.70811e-08	5.04682e-09
  17.5572	4.50729e-09	1.82668e-08	5.09623e-09
  17.7447	4.86984e-09	1.94726e-08	5.14445e-09
  17.9322	5.24352e-09	2.06978e-08	5.19172e-09
  18.1197	5.62816e-09	2.19415e-08	5.23826e-09
  18.3072	6.02354e-09	2.32032e-08	5.28429e-09
  18.4947	6.42947e-09	2.44821e-08	5.32998e-09
  18.6822	6.84578e-09	2.57776e-08	5.37549e-09
  18.8697	7.27226e-09	2.70892e-08	5.42096e-09
  19.0572	7.70873e-09	2.84164e-08	5.46652e-09
  19.2447	8.15502e-09	2.97587e-08	5.51228e-09
  19.4322	8.61094e-09	3.11156e-08	5.55835e-09
  19.6197	9.07632e-09	3.24867e-08	5.60482e-09
  19.8072	9.55099e-09	3.38717e-08	5.65176e-09
  19.9947	1.00348e-08	3.52701e-08	5.69925e-09
  20.1822	1.05275e-08	3.66816e-08	5.74736e-09
  20.3697	1.1029e-08	3.8106e-08	5.79613e-09
  20.5572	1.15392e-08	3.95429e-08	5.84562e-09
  20.7447	1.20579e-08	4.09921e-08	5.89587e-09
  20.9322	1.25849e-08	4.24534e-08	5.94692e-09
  21.1197	1.31201e-08	4.39264e-08	5.99881e-09
  21.3072	1.36634e-08	4.54111e-08	6.05156e-09
  21.4947	1.42146e-08	4.69073e-08	6.10521e-09
  21.6822	1.47736e-08	4.84147e-08	6.15976e-09
  21.8697	1.53403e-08	4.99333e-08	6.21525e-09
  22.0572	1.59146e-08	5.14628e-08	6.27169e-09
  22.2447	1.64962e-08	5.30032e-08	6.3291e-09
  22.4322	1.70852e-08	5.45543e-08	6.38748e-09
  22.6197	1.76815e-08	5.6116e-08	6.44684e-09
  22.8072	1.82848e-08	5.76883e-08	6.50721e-09
  22.9947	1.88951e-08	5.9271e-08	6.56857e-09
  23.1822	1.95124e-08	6.08641e-08	6.63094e-09
  23.3697	2.01364e-08	6.24675e-08	6.69432e-09
  23.5572	2.07672e-08	6.40811e-08	6.75872e-09
  23.7447	2.14046e-08	6.57049e-08	6.82413e-09
  23.9322	2.20486e-08	6.73388e-08	6.89056e-09
  24.1197	2.26991e-08	6.89829e-08	6.95801e-09
  24.3072	2.33559e-08	7.06369e-08	7.02647e-09
  24.4947	2.40191e-08	7.2301e-08	7.09595e-09
