### The result of the verage over time 
### d tau = 0.1875
### number of kessence update = 10
### initial time = 11.9322
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
  27.6822	-3.53462e-05	1.72873e-07	 (32 , 32 , 32) 
  27.8697	-3.56054e-05	1.76254e-07	 (32 , 32 , 32) 
  28.0572	-3.58631e-05	1.79666e-07	 (32 , 32 , 32) 
  28.2447	-3.61194e-05	1.8311e-07	 (32 , 32 , 32) 
  28.4322	-3.63742e-05	1.86588e-07	 (32 , 32 , 32) 
  28.6197	-3.66275e-05	1.90099e-07	 (32 , 32 , 32) 
  28.8072	-3.68794e-05	1.93644e-07	 (32 , 32 , 32) 
  28.9947	-3.71299e-05	1.97224e-07	 (32 , 32 , 32) 
  29.1822	-3.7379e-05	2.00839e-07	 (32 , 32 , 32) 
  29.3697	-3.76265e-05	2.04489e-07	 (32 , 32 , 32) 
  29.5572	-3.78725e-05	2.08174e-07	 (32 , 32 , 32) 
  29.7447	-3.81171e-05	2.11891e-07	 (32 , 32 , 32) 
  29.9322	-3.83602e-05	2.1564e-07	 (32 , 32 , 32) 
  30.1197	-3.86018e-05	2.19419e-07	 (32 , 32 , 32) 
  30.3072	-3.8842e-05	2.23226e-07	 (32 , 32 , 32) 
  30.4947	-3.90809e-05	2.27062e-07	 (32 , 32 , 32) 
  30.6822	-3.93183e-05	2.30923e-07	 (32 , 32 , 32) 
  30.8697	-3.95544e-05	2.34811e-07	 (32 , 32 , 32) 
  31.0572	-3.97892e-05	2.38723e-07	 (32 , 32 , 32) 
  31.2447	-4.00226e-05	2.42661e-07	 (32 , 32 , 32) 
  31.4322	-4.02548e-05	2.46622e-07	 (32 , 32 , 32) 
  31.6197	-4.04857e-05	2.50607e-07	 (32 , 32 , 32) 
  31.8072	-4.07154e-05	2.54615e-07	 (32 , 32 , 32) 
  31.9947	-4.09438e-05	2.58647e-07	 (32 , 32 , 32) 
  32.1822	-4.11711e-05	2.62703e-07	 (32 , 32 , 32) 
  32.3697	-4.13971e-05	2.66781e-07	 (32 , 32 , 32) 
  32.5572	-4.1622e-05	2.70883e-07	 (32 , 32 , 32) 
  32.7447	-4.18457e-05	2.75007e-07	 (32 , 32 , 32) 
  32.9322	-4.20683e-05	2.79153e-07	 (32 , 32 , 32) 
  33.1197	-4.22897e-05	2.83323e-07	 (32 , 32 , 32) 
  33.3072	-4.25099e-05	2.87517e-07	 (32 , 32 , 32) 
  33.4947	-4.2729e-05	2.91734e-07	 (32 , 32 , 32) 
  33.6822	-4.2947e-05	2.95977e-07	 (32 , 32 , 32) 
  33.8697	-4.31637e-05	3.00244e-07	 (32 , 32 , 32) 
  34.0572	-4.33791e-05	3.04539e-07	 (32 , 32 , 32) 
  34.2447	-4.35933e-05	3.08861e-07	 (32 , 32 , 32) 
  34.4322	-4.38062e-05	3.13212e-07	 (32 , 32 , 32) 
  34.6197	-4.40179e-05	3.17592e-07	 (32 , 32 , 32) 
  34.8072	-4.42283e-05	3.22003e-07	 (32 , 32 , 32) 
  34.9947	-4.44375e-05	3.26445e-07	 (32 , 32 , 32) 
  35.1822	-4.46454e-05	3.30919e-07	 (32 , 32 , 32) 
  35.3697	-4.48522e-05	3.35425e-07	 (32 , 32 , 32) 
  35.5572	-4.50577e-05	3.39963e-07	 (32 , 32 , 32) 
  35.7447	-4.52621e-05	3.44534e-07	 (32 , 32 , 32) 
  35.9322	-4.54654e-05	3.49137e-07	 (32 , 32 , 32) 
  36.1197	-4.56675e-05	3.53772e-07	 (32 , 32 , 32) 
  36.3072	-4.58686e-05	3.58438e-07	 (32 , 32 , 32) 
  36.4947	-4.60685e-05	3.63135e-07	 (32 , 32 , 32) 
  36.6822	-4.62673e-05	3.67863e-07	 (32 , 32 , 32) 
  36.8697	-4.6465e-05	3.7262e-07	 (32 , 32 , 32) 
  37.0572	-4.66617e-05	3.77408e-07	 (32 , 32 , 32) 
  37.2447	-4.68573e-05	3.82224e-07	 (32 , 32 , 32) 
  37.4322	-4.70518e-05	3.87069e-07	 (32 , 32 , 32) 
  37.6197	-4.72453e-05	3.91943e-07	 (32 , 32 , 32) 
  37.8072	-4.74377e-05	3.96845e-07	 (32 , 32 , 32) 
  37.9947	-4.76291e-05	4.01775e-07	 (32 , 32 , 32) 
  38.1822	-4.78194e-05	4.06733e-07	 (32 , 32 , 32) 
  38.3697	-4.80087e-05	4.11718e-07	 (32 , 32 , 32) 
  38.5572	-4.8197e-05	4.16731e-07	 (32 , 32 , 32) 
  38.7447	-4.83843e-05	4.21772e-07	 (32 , 32 , 32) 
  38.9322	-4.85705e-05	4.26839e-07	 (32 , 32 , 32) 
  39.1197	-4.87555e-05	4.31934e-07	 (32 , 32 , 32) 
  39.3072	-4.89393e-05	4.37055e-07	 (32 , 32 , 32) 
  39.4947	-4.91219e-05	4.42201e-07	 (32 , 32 , 32) 
  39.6822	-4.93032e-05	4.47373e-07	 (32 , 32 , 32) 
  39.8697	-4.94831e-05	4.52569e-07	 (32 , 32 , 32) 
  40.0572	-4.96617e-05	4.57787e-07	 (32 , 32 , 32) 
  40.2447	-4.98389e-05	4.63029e-07	 (32 , 32 , 32) 
  40.4322	-5.00149e-05	4.68292e-07	 (32 , 32 , 32) 
  40.6197	-5.01896e-05	4.73576e-07	 (32 , 32 , 32) 
  40.8072	-5.03631e-05	4.7888e-07	 (32 , 32 , 32) 
  40.9947	-5.05354e-05	4.84205e-07	 (32 , 32 , 32) 
  41.1822	-5.07065e-05	4.8955e-07	 (32 , 32 , 32) 
  41.3697	-5.08764e-05	4.94913e-07	 (32 , 32 , 32) 
  41.5572	-5.10451e-05	5.00296e-07	 (32 , 32 , 32) 
  41.7447	-5.12127e-05	5.05696e-07	 (32 , 32 , 32) 
  41.9322	-5.13791e-05	5.11115e-07	 (32 , 32 , 32) 
  42.1197	-5.15443e-05	5.1655e-07	 (32 , 32 , 32) 
  42.3072	-5.17085e-05	5.22003e-07	 (32 , 32 , 32) 
  42.4947	-5.18715e-05	5.27471e-07	 (32 , 32 , 32) 
  42.6822	-5.20334e-05	5.32956e-07	 (32 , 32 , 32) 
  42.8697	-5.21943e-05	5.38455e-07	 (32 , 32 , 32) 
  43.0572	-5.23541e-05	5.43968e-07	 (32 , 32 , 32) 
  43.2447	-5.25127e-05	5.49496e-07	 (32 , 32 , 32) 
  43.4322	-5.26704e-05	5.55036e-07	 (32 , 32 , 32) 
  43.6197	-5.28269e-05	5.60588e-07	 (32 , 32 , 32) 
  43.8072	-5.29824e-05	5.66151e-07	 (32 , 32 , 32) 
  43.9947	-5.31368e-05	5.71725e-07	 (32 , 32 , 32) 
  44.1822	-5.32901e-05	5.77308e-07	 (32 , 32 , 32) 
  44.3697	-5.34424e-05	5.829e-07	 (32 , 32 , 32) 
  44.5572	-5.35936e-05	5.88499e-07	 (32 , 32 , 32) 
  44.7447	-5.37437e-05	5.94105e-07	 (32 , 32 , 32) 
  44.9322	-5.38928e-05	5.99715e-07	 (32 , 32 , 32) 
  45.1197	-5.40408e-05	6.05328e-07	 (32 , 32 , 32) 
  45.3072	-5.41877e-05	6.10943e-07	 (32 , 32 , 32) 
  45.4947	-5.43334e-05	6.16558e-07	 (32 , 32 , 32) 
  45.6822	-5.44779e-05	6.22172e-07	 (32 , 32 , 32) 
  45.8697	-5.46212e-05	6.27783e-07	 (32 , 32 , 32) 
  46.0572	-5.47633e-05	6.33388e-07	 (32 , 32 , 32) 
  46.2447	-5.49043e-05	6.38986e-07	 (32 , 32 , 32) 
  46.4322	-5.5044e-05	6.44576e-07	 (32 , 32 , 32) 
  46.6197	-5.51827e-05	6.50154e-07	 (32 , 32 , 32) 
  46.8072	-5.53202e-05	6.55719e-07	 (32 , 32 , 32) 
  46.9947	-5.54567e-05	6.6127e-07	 (32 , 32 , 32) 
  47.1822	-5.5592e-05	6.66805e-07	 (32 , 32 , 32) 
  47.3697	-5.57262e-05	6.72321e-07	 (32 , 32 , 32) 
  47.5572	-5.58593e-05	6.77818e-07	 (32 , 32 , 32) 
  47.7447	-5.59914e-05	6.83293e-07	 (32 , 32 , 32) 
  47.9322	-5.61224e-05	6.88745e-07	 (32 , 32 , 32) 
  48.1197	-5.62525e-05	6.94172e-07	 (32 , 32 , 32) 
  48.3072	-5.63815e-05	6.99572e-07	 (32 , 32 , 32) 
  48.4947	-5.65095e-05	7.04945e-07	 (32 , 32 , 32) 
  48.6822	-5.66365e-05	7.10289e-07	 (32 , 32 , 32) 
  48.8697	-5.67626e-05	7.15603e-07	 (32 , 32 , 32) 
  49.0572	-5.68878e-05	7.20885e-07	 (32 , 32 , 32) 
  49.2447	-5.7012e-05	7.26134e-07	 (32 , 32 , 32) 
  49.4322	-5.71353e-05	7.31349e-07	 (32 , 32 , 32) 
  49.6197	-5.72577e-05	7.36529e-07	 (32 , 32 , 32) 
  49.8072	-5.73792e-05	7.41671e-07	 (32 , 32 , 32) 
  49.9947	-5.74999e-05	7.46774e-07	 (32 , 32 , 32) 
  50.1822	-5.76196e-05	7.51838e-07	 (32 , 32 , 32) 
  50.3697	-5.77386e-05	7.5686e-07	 (32 , 32 , 32) 
  50.5572	-5.78567e-05	7.61838e-07	 (32 , 32 , 32) 
  50.7447	-5.79739e-05	7.66772e-07	 (32 , 32 , 32) 
  50.9322	-5.80903e-05	7.71659e-07	 (32 , 32 , 32) 
  51.1197	-5.8206e-05	7.76499e-07	 (32 , 32 , 32) 
  51.3072	-5.83207e-05	7.81289e-07	 (32 , 32 , 32) 
  51.4947	-5.84347e-05	7.86027e-07	 (32 , 32 , 32) 
  51.6822	-5.85479e-05	7.90713e-07	 (32 , 32 , 32) 
  51.8697	-5.86604e-05	7.95344e-07	 (32 , 32 , 32) 
  52.0572	-5.87719e-05	7.99919e-07	 (32 , 32 , 32) 
  52.2447	-5.88826e-05	8.04436e-07	 (32 , 32 , 32) 
  52.4322	-5.89926e-05	8.08893e-07	 (32 , 32 , 32) 
  52.6197	-5.91017e-05	8.1329e-07	 (32 , 32 , 32) 
  52.8072	-5.921e-05	8.17625e-07	 (32 , 32 , 32) 
  52.9947	-5.93175e-05	8.21895e-07	 (32 , 32 , 32) 
  53.1822	-5.94243e-05	8.26101e-07	 (32 , 32 , 32) 
  53.3697	-5.95304e-05	8.30239e-07	 (32 , 32 , 32) 
  53.5572	-5.96356e-05	8.34309e-07	 (32 , 32 , 32) 
  53.7447	-5.97401e-05	8.38309e-07	 (32 , 32 , 32) 
  53.9322	-5.98438e-05	8.42237e-07	 (32 , 32 , 32) 
  54.1197	-5.99469e-05	8.46093e-07	 (32 , 32 , 32) 
  54.3072	-6.00492e-05	8.49874e-07	 (32 , 32 , 32) 
  54.4947	-6.01509e-05	8.53581e-07	 (32 , 32 , 32) 
  54.6822	-6.0252e-05	8.57211e-07	 (32 , 32 , 32) 
  54.8697	-6.03524e-05	8.60763e-07	 (32 , 32 , 32) 
  55.0572	-6.04522e-05	8.64237e-07	 (32 , 32 , 32) 
  55.2447	-6.05514e-05	8.67631e-07	 (32 , 32 , 32) 
  55.4322	-6.06501e-05	8.70944e-07	 (32 , 32 , 32) 
  55.6197	-6.07482e-05	8.74174e-07	 (32 , 32 , 32) 
  55.8072	-6.08457e-05	8.77321e-07	 (32 , 32 , 32) 
  55.9947	-6.09428e-05	8.80383e-07	 (32 , 32 , 32) 
  56.1822	-6.10393e-05	8.83359e-07	 (32 , 32 , 32) 
  56.3697	-6.11354e-05	8.86249e-07	 (32 , 32 , 32) 
  56.5572	-6.1231e-05	8.89051e-07	 (32 , 32 , 32) 
  56.7447	-6.13262e-05	8.91764e-07	 (32 , 32 , 32) 
  56.9322	-6.14209e-05	8.94387e-07	 (32 , 32 , 32) 
  57.1197	-6.15152e-05	8.96919e-07	 (32 , 32 , 32) 
  57.3072	-6.16091e-05	8.99359e-07	 (32 , 32 , 32) 
  57.4947	-6.17026e-05	9.01707e-07	 (32 , 32 , 32) 
  57.6822	-6.17957e-05	9.03961e-07	 (32 , 32 , 32) 
  57.8697	-6.18884e-05	9.06121e-07	 (32 , 32 , 32) 
  58.0572	-6.19807e-05	9.08186e-07	 (32 , 32 , 32) 
  58.2447	-6.20726e-05	9.10156e-07	 (32 , 32 , 32) 
  58.4322	-6.21642e-05	9.1203e-07	 (32 , 32 , 32) 
  58.6197	-6.22555e-05	9.13808e-07	 (32 , 32 , 32) 
  58.8072	-6.23465e-05	9.1549e-07	 (32 , 32 , 32) 
