### The result of the verage over time 
### d tau = 0.238644
### number of kessence update = 10
### initial time = 11.9322
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
  11.9322	        0	        0	1.09055e-20
  12.1708	-1.0944e-10	-2.69454e-09	1.09055e-20
  12.4142	-1.6023e-10	-2.35638e-09	6.81896e-10
  12.6625	-1.73045e-10	-1.99213e-09	1.28318e-09
  12.9158	-1.51264e-10	-1.57757e-09	1.8104e-09
  13.1741	-9.68504e-11	-1.09317e-09	2.27242e-09
  13.4376	-1.07153e-11	-5.23926e-10	2.67721e-09
  13.7063	1.07037e-10	1.41444e-10	3.03192e-09
  13.9805	2.56909e-10	9.1123e-10	3.34297e-09
  14.2601	4.39848e-10	1.79132e-09	3.6161e-09
  14.5453	6.57119e-10	2.7857e-09	3.85649e-09
  14.8362	9.102e-10	3.89688e-09	4.06873e-09
  15.1329	1.20071e-09	5.12622e-09	4.25699e-09
  15.4356	1.53033e-09	6.47424e-09	4.42496e-09
  15.7443	1.90078e-09	7.94086e-09	4.57596e-09
  16.0591	2.31379e-09	9.52555e-09	4.71298e-09
  16.3803	2.77102e-09	1.12276e-08	4.83867e-09
  16.7079	3.27414e-09	1.3046e-08	4.95542e-09
  17.0421	3.82472e-09	1.498e-08	5.06537e-09
  17.3829	4.42431e-09	1.70287e-08	5.17044e-09
  17.7306	5.07439e-09	1.91913e-08	5.27236e-09
  18.0852	5.77637e-09	2.14674e-08	5.37267e-09
  18.4469	6.53165e-09	2.38567e-08	5.47276e-09
  18.8159	7.34156e-09	2.63592e-08	5.5739e-09
  19.1909	8.2043e-09	2.89658e-08	5.67722e-09
  19.5659	9.10547e-09	3.16323e-08	5.78316e-09
  19.9409	1.00436e-08	3.43549e-08	5.88981e-09
  20.3159	1.10175e-08	3.71307e-08	5.9979e-09
  20.6909	1.20258e-08	3.9957e-08	6.10801e-09
  21.0659	1.30673e-08	4.28316e-08	6.22061e-09
  21.4409	1.41409e-08	4.57526e-08	6.33605e-09
  21.8159	1.52456e-08	4.87184e-08	6.45462e-09
  22.1909	1.63803e-08	5.17277e-08	6.57655e-09
  22.5659	1.75441e-08	5.47792e-08	6.702e-09
  22.9409	1.87362e-08	5.78722e-08	6.83109e-09
  23.3159	1.99556e-08	6.10057e-08	6.96392e-09
  23.6909	2.12017e-08	6.41792e-08	7.10055e-09
  24.0659	2.24738e-08	6.73922e-08	7.24102e-09
  24.4409	2.37711e-08	7.06442e-08	7.38537e-09
  24.8159	2.50932e-08	7.3935e-08	7.53359e-09
  25.1909	2.64393e-08	7.72643e-08	7.68569e-09
  25.5659	2.7809e-08	8.06319e-08	7.84167e-09
  25.9409	2.92018e-08	8.40378e-08	8.00149e-09
  26.3159	3.06173e-08	8.74818e-08	8.16515e-09
  26.6909	3.20551e-08	9.09639e-08	8.33261e-09
  27.0659	3.35147e-08	9.44842e-08	8.50385e-09
  27.4409	3.49959e-08	9.80428e-08	8.67883e-09
  27.8159	3.64983e-08	1.0164e-07	8.85753e-09
  28.1909	3.80217e-08	1.05275e-07	9.03992e-09
  28.5659	3.95657e-08	1.08948e-07	9.22595e-09
  28.9409	4.11301e-08	1.12661e-07	9.41561e-09
  29.3159	4.27147e-08	1.16411e-07	9.60885e-09
  29.6909	4.43193e-08	1.20201e-07	9.80565e-09
  30.0659	4.59438e-08	1.2403e-07	1.0006e-08
  30.4409	4.75878e-08	1.27898e-07	1.02098e-08
  30.8159	4.92514e-08	1.31805e-07	1.04171e-08
  31.1909	5.09343e-08	1.35752e-07	1.06278e-08
  31.5659	5.26365e-08	1.39739e-07	1.0842e-08
  31.9409	5.43577e-08	1.43765e-07	1.10596e-08
  32.3159	5.6098e-08	1.47832e-07	1.12805e-08
  32.6909	5.78571e-08	1.51938e-07	1.15049e-08
  33.0659	5.96351e-08	1.56085e-07	1.17325e-08
  33.4409	6.14319e-08	1.60273e-07	1.19635e-08
  33.8159	6.32474e-08	1.64501e-07	1.21978e-08
