### The result of the verage over time 
### d tau = 0.238644
### number of kessence update = 10
### initial time = 11.9322
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
  11.9322	        0	        0	 (32 , 32 , 32) 
  12.1708	-9.41817e-08	-8.60134e-11	 (32 , 32 , 32) 
  12.4142	-1.8734e-07	-6.68135e-11	 (32 , 32 , 32) 
  12.6625	-2.76463e-07	-3.26641e-11	 (32 , 32 , 32) 
  12.9158	-3.62188e-07	2.19409e-11	 (32 , 32 , 32) 
  13.1741	-4.44926e-07	1.01436e-10	 (32 , 32 , 32) 
  13.4376	-5.24905e-07	2.09125e-10	 (32 , 32 , 32) 
  13.7063	-6.02325e-07	3.47405e-10	 (32 , 32 , 32) 
  13.9805	-6.77366e-07	5.17947e-10	 (32 , 32 , 32) 
  14.2601	-7.502e-07	7.21847e-10	 (32 , 32 , 32) 
  14.5453	-8.20982e-07	9.59758e-10	 (32 , 32 , 32) 
  14.8362	-8.89856e-07	1.23199e-09	 (32 , 32 , 32) 
  15.1329	-9.56956e-07	1.5386e-09	 (32 , 32 , 32) 
  15.4356	-1.02241e-06	1.87946e-09	 (32 , 32 , 32) 
  15.7443	-1.08632e-06	2.25432e-09	 (32 , 32 , 32) 
  16.0591	-1.1488e-06	2.66288e-09	 (32 , 32 , 32) 
  16.3803	-1.20994e-06	3.10476e-09	 (32 , 32 , 32) 
  16.7079	-1.26984e-06	3.57962e-09	 (32 , 32 , 32) 
  17.0421	-1.32856e-06	4.08712e-09	 (32 , 32 , 32) 
  17.3829	-1.38619e-06	4.62698e-09	 (32 , 32 , 32) 
  17.7306	-1.44279e-06	5.19896e-09	 (32 , 32 , 32) 
  18.0852	-1.49843e-06	5.8029e-09	 (32 , 32 , 32) 
  18.4469	-1.55318e-06	6.43874e-09	 (32 , 32 , 32) 
  18.8159	-1.6071e-06	7.10649e-09	 (32 , 32 , 32) 
  19.1909	-1.66005e-06	7.8038e-09	 (32 , 32 , 32) 
  19.5659	-1.71129e-06	8.51879e-09	 (32 , 32 , 32) 
  19.9409	-1.76094e-06	9.25048e-09	 (32 , 32 , 32) 
  20.3159	-1.80914e-06	9.99804e-09	 (32 , 32 , 32) 
  20.6909	-1.856e-06	1.07608e-08	 (32 , 32 , 32) 
  21.0659	-1.90165e-06	1.15381e-08	 (32 , 32 , 32) 
  21.4409	-1.94619e-06	1.23296e-08	 (32 , 32 , 32) 
  21.8159	-1.98976e-06	1.31348e-08	 (32 , 32 , 32) 
  22.1909	-2.03244e-06	1.39534e-08	 (32 , 32 , 32) 
  22.5659	-2.07436e-06	1.47852e-08	 (32 , 32 , 32) 
  22.9409	-2.11561e-06	1.56301e-08	 (32 , 32 , 32) 
  23.3159	-2.15628e-06	1.64878e-08	 (32 , 32 , 32) 
  23.6909	-2.19645e-06	1.73583e-08	 (32 , 32 , 32) 
  24.0659	-2.23623e-06	1.82416e-08	 (32 , 32 , 32) 
  24.4409	-2.27568e-06	1.91377e-08	 (32 , 32 , 32) 
  24.8159	-2.31486e-06	2.00465e-08	 (32 , 32 , 32) 
  25.1909	-2.35383e-06	2.09681e-08	 (32 , 32 , 32) 
  25.5659	-2.39261e-06	2.19025e-08	 (32 , 32 , 32) 
  25.9409	-2.43121e-06	2.285e-08	 (32 , 32 , 32) 
  26.3159	-2.46967e-06	2.38105e-08	 (32 , 32 , 32) 
  26.6909	-2.50806e-06	2.47847e-08	 (32 , 32 , 32) 
  27.0659	-2.54637e-06	2.57733e-08	 (32 , 32 , 32) 
  27.4409	-2.58466e-06	2.6777e-08	 (32 , 32 , 32) 
  27.8159	-2.62316e-06	2.77968e-08	 (32 , 32 , 32) 
  28.1909	-2.6618e-06	2.88346e-08	 (32 , 32 , 32) 
  28.5659	-2.70068e-06	2.98922e-08	 (32 , 32 , 32) 
  28.9409	-2.73972e-06	3.09719e-08	 (32 , 32 , 32) 
  29.3159	-2.77881e-06	3.20757e-08	 (32 , 32 , 32) 
  29.6909	-2.81809e-06	3.32053e-08	 (32 , 32 , 32) 
  30.0659	-2.85751e-06	3.43616e-08	 (32 , 32 , 32) 
  30.4409	-2.89707e-06	3.55456e-08	 (32 , 32 , 32) 
  30.8159	-2.93676e-06	3.67582e-08	 (32 , 32 , 32) 
  31.1909	-2.9761e-06	3.80005e-08	 (32 , 32 , 32) 
