### The result of the verage over time 
### d tau = 0.015036
### number of kessence update = 10
### initial time = 0.642703
### 1- tau	2- average(H pi_k)	3- average (zeta)	 4- average (phi)   
 0.642703	        0	        0	-6.58568e-20
 0.657739	-7.57474e-12	-1.86179e-10	-6.58568e-20
 0.673084	2.11014e-11	-1.58817e-10	6.04088e-10
 0.688745	6.82942e-11	-1.23732e-10	1.13473e-09
 0.704726	1.32544e-10	-7.67029e-11	1.62744e-09
 0.721036	2.12198e-10	-1.43244e-11	2.08675e-09
  0.73768	3.05948e-10	6.61701e-11	2.5164e-09
 0.754664	4.12779e-10	1.6701e-10	2.9198e-09
 0.771996	5.31923e-10	2.89972e-10	3.29999e-09
 0.789681	6.62819e-10	4.36453e-10	3.65977e-09
 0.807728	8.05079e-10	6.07534e-10	4.00167e-09
 0.826143	9.58457e-10	8.04035e-10	4.32802e-09
 0.844933	1.12283e-09	1.02656e-09	4.64092e-09
 0.864106	1.29816e-09	1.27556e-09	4.94232e-09
 0.883669	1.48451e-09	1.55131e-09	5.23398e-09
 0.903631	1.68199e-09	1.85403e-09	5.51754e-09
 0.923998	1.89078e-09	2.18381e-09	5.79449e-09
 0.944778	2.11109e-09	2.54072e-09	6.06622e-09
 0.965981	2.34317e-09	2.92478e-09	6.33401e-09
 0.987614	2.58732e-09	3.33598e-09	6.59906e-09
  1.00969	2.84383e-09	3.77432e-09	6.86245e-09
   1.0322	3.11304e-09	4.23979e-09	7.12523e-09
  1.05518	3.39528e-09	4.73241e-09	7.38836e-09
  1.07862	3.69092e-09	5.2522e-09	7.65275e-09
  1.10253	4.00033e-09	5.79923e-09	7.91925e-09
  1.12693	4.3239e-09	6.3736e-09	8.18869e-09
  1.15182	4.66201e-09	6.97546e-09	8.46182e-09
  1.17722	5.01509e-09	7.60499e-09	8.73939e-09
  1.20313	5.38354e-09	8.26243e-09	9.02212e-09
  1.22956	5.7678e-09	8.94808e-09	9.31068e-09
  1.25652	6.16832e-09	9.66227e-09	9.60574e-09
  1.28403	6.58554e-09	1.04054e-08	9.90796e-09
   1.3121	7.01996e-09	1.1178e-08	1.0218e-08
  1.34073	7.47204e-09	1.19805e-08	1.05364e-08
  1.36993	7.9423e-09	1.28135e-08	1.08638e-08
  1.39973	8.43127e-09	1.36777e-08	1.12008e-08
  1.43012	8.93948e-09	1.45737e-08	1.15481e-08
  1.46113	9.46749e-09	1.55024e-08	1.19063e-08
  1.49276	1.00159e-08	1.64647e-08	1.22759e-08
  1.52503	1.05853e-08	1.74613e-08	1.26576e-08
  1.55795	1.11764e-08	1.84933e-08	1.30519e-08
  1.59153	1.17898e-08	1.95617e-08	1.34597e-08
  1.62578	1.24261e-08	2.06677e-08	1.38813e-08
  1.66072	1.30862e-08	2.18124e-08	1.43176e-08
  1.69637	1.37708e-08	2.29971e-08	1.47691e-08
  1.73273	1.44806e-08	2.42231e-08	1.52367e-08
  1.76982	1.52166e-08	2.54919e-08	1.57208e-08
  1.80765	1.59795e-08	2.68048e-08	1.62223e-08
  1.84625	1.67702e-08	2.81635e-08	1.67419e-08
  1.88561	1.75898e-08	2.95696e-08	1.72803e-08
  1.92577	1.84391e-08	3.10248e-08	1.78384e-08
  1.96673	1.93193e-08	3.25308e-08	1.84168e-08
  2.00851	2.02313e-08	3.40897e-08	1.90164e-08
  2.05113	2.11764e-08	3.57033e-08	1.96382e-08
   2.0946	2.21557e-08	3.73737e-08	2.02828e-08
  2.13894	2.31704e-08	3.91029e-08	2.09513e-08
  2.18417	2.42218e-08	4.08934e-08	2.16445e-08
   2.2303	2.53113e-08	4.27472e-08	2.23634e-08
  2.27735	2.64402e-08	4.46669e-08	2.31089e-08
  2.32534	2.76101e-08	4.6655e-08	2.38822e-08
  2.37428	2.88225e-08	4.8714e-08	2.46842e-08
   2.4242	3.00789e-08	5.08467e-08	2.55161e-08
  2.47512	3.13812e-08	5.30558e-08	2.63788e-08
  2.52704	3.27309e-08	5.53443e-08	2.72736e-08
  2.57999	3.41301e-08	5.77151e-08	2.82016e-08
  2.63399	3.55806e-08	6.01712e-08	2.9164e-08
  2.68906	3.70844e-08	6.2716e-08	3.0162e-08
  2.74522	3.86436e-08	6.53527e-08	3.1197e-08
  2.80248	4.02606e-08	6.80847e-08	3.22701e-08
  2.86087	4.19375e-08	7.09154e-08	3.33826e-08
   2.9204	4.36769e-08	7.38484e-08	3.4536e-08
   2.9811	4.54813e-08	7.68874e-08	3.57315e-08
  3.04298	4.73534e-08	8.00362e-08	3.69704e-08
  3.10606	4.92961e-08	8.32984e-08	3.82541e-08
  3.17036	5.13123e-08	8.6678e-08	3.95839e-08
  3.23589	5.34052e-08	9.0179e-08	4.09612e-08
  3.30269	5.55782e-08	9.38051e-08	4.23872e-08
  3.37075	5.78347e-08	9.75604e-08	4.38632e-08
   3.4401	6.01785e-08	1.01449e-07	4.53904e-08
  3.51076	6.26136e-08	1.05474e-07	4.69697e-08
  3.58272	6.5144e-08	1.0964e-07	4.86022e-08
  3.65602	6.77743e-08	1.13951e-07	5.02888e-08
  3.73065	7.05091e-08	1.1841e-07	5.203e-08
  3.80663	7.33535e-08	1.23019e-07	5.38262e-08
  3.88396	7.63129e-08	1.27783e-07	5.56776e-08
  3.96265	7.93929e-08	1.32704e-07	5.7584e-08
  4.04269	8.25997e-08	1.37783e-07	5.95448e-08
  4.12408	8.59396e-08	1.43023e-07	6.15589e-08
  4.20681	8.94198e-08	1.48423e-07	6.36246e-08
  4.29088	9.30476e-08	1.53984e-07	6.574e-08
  4.37626	9.68309e-08	1.59704e-07	6.79023e-08
  4.46293	1.00778e-07	1.65581e-07	7.01079e-08
  4.55086	1.04898e-07	1.71611e-07	7.23525e-08
  4.64001	1.09201e-07	1.77788e-07	7.46309e-08
  4.73035	1.13697e-07	1.84106e-07	7.6937e-08
  4.82181	1.18397e-07	1.90554e-07	7.92633e-08
  4.91434	1.23311e-07	1.97122e-07	8.16017e-08
  5.00787	1.28453e-07	2.03795e-07	8.39425e-08
  5.10231	1.33835e-07	2.10556e-07	8.6275e-08
  5.19758	1.39469e-07	2.17387e-07	8.85874e-08
  5.29358	1.45369e-07	2.24264e-07	9.08664e-08
  5.39019	1.5155e-07	2.31162e-07	9.30979e-08
   5.4873	1.58024e-07	2.38052e-07	9.52665e-08
  5.58476	1.64805e-07	2.44903e-07	9.7356e-08
  5.68245	1.71907e-07	2.51678e-07	9.93496e-08
   5.7802	1.79342e-07	2.5834e-07	1.0123e-07
  5.87787	1.87121e-07	2.64847e-07	1.02979e-07
  5.97529	1.95255e-07	2.71156e-07	1.04581e-07
   6.0723	2.03751e-07	2.77222e-07	1.06017e-07
  6.16872	2.12617e-07	2.82998e-07	1.07273e-07
  6.26439	2.21855e-07	2.88437e-07	1.08334e-07
  6.35915	2.31466e-07	2.9349e-07	1.09188e-07
  6.45282	2.41448e-07	2.98111e-07	1.09823e-07
  6.54525	2.51793e-07	3.02255e-07	1.10232e-07
   6.6363	2.62493e-07	3.05881e-07	1.1041e-07
  6.72582	2.73534e-07	3.08949e-07	1.10353e-07
  6.81369	2.84898e-07	3.11424e-07	1.10062e-07
   6.8998	2.96564e-07	3.13279e-07	1.09541e-07
