# Matter power spectrum P(k) at redshift z=1000
# for k=1.05469e-05 to 226.999 h/Mpc,
# number of wavenumbers equal to 388
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.054685259621e-05       2.941412008409e-05 
       1.104391044557e-05       3.164371413525e-05 
       1.156439390968e-05       3.394416328099e-05 
       1.210940700373e-05       3.631855237503e-05 
       1.268010577357e-05       3.877031970099e-05 
       1.327770074781e-05       4.130319836917e-05 
       1.390345950551e-05       4.392124431333e-05 
       1.455870936489e-05       4.662883068832e-05 
       1.524484019875e-05       4.943060307766e-05 
       1.596330738259e-05       5.233149219413e-05 
       1.671563488162e-05       5.533670706437e-05 
       1.750341848334e-05       5.845171944933e-05 
       1.832832918239e-05       6.186286390872e-05 
       1.919211672495e-05       7.793369151815e-05 
       2.009661332022e-05       7.937294470280e-05 
       2.104373752675e-05       8.173181231291e-05 
       2.203549832195e-05       9.060179439863e-05 
       2.307399936344e-05       9.056710380279e-05 
       2.416144345116e-05       9.118546873463e-05 
       2.530013719983e-05       8.944645217073e-05 
       2.649249593155e-05       8.567046184469e-05 
       2.774104879905e-05       9.067681704005e-05 
       2.904844415035e-05       1.183551497875e-04 
       3.041745514630e-05       1.207972710659e-04 
       3.185098564275e-05       1.246775901036e-04 
       3.335207635008e-05       1.262220049523e-04 
       3.492391128294e-05       1.164795604326e-04 
       3.656982451396e-05       1.222385683632e-04 
       3.829330724578e-05       1.282212498106e-04 
       4.009801521634e-05       1.334552482897e-04 
       4.198777645321e-05       1.398035577735e-04 
       4.396659939334e-05       1.466415280128e-04 
       4.603868138548e-05       1.538329942435e-04 
       4.820841759336e-05       1.613914264226e-04 
       5.048041031836e-05       1.693340028573e-04 
       5.285947876168e-05       1.776861122755e-04 
       5.535066924645e-05       1.864594776284e-04 
       5.795926592168e-05       1.987646485395e-04 
       6.069080197066e-05       2.083453604743e-04 
       6.355107134759e-05       2.183436898906e-04 
       6.654614106728e-05       2.262939399832e-04 
       6.968236407417e-05       2.377976081186e-04 
       7.296639271774e-05       2.493072521676e-04 
       7.640519286304e-05       2.628572922370e-04 
       8.000605866622e-05       2.751904175503e-04 
       8.377662804643e-05       2.879372634931e-04 
       8.772489888686e-05       3.007998170819e-04 
       9.185924599931e-05       3.156927100571e-04 
       9.618843888831e-05       3.381108397623e-04 
       1.007216603524e-04       3.530491959497e-04 
       1.054685259621e-04       3.687074632270e-04 
       1.104391044557e-04       3.851018799356e-04 
       1.156439390968e-04       4.022367274711e-04 
       1.210940700373e-04       4.201876213840e-04 
       1.268010577357e-04       4.389651898607e-04 
       1.327770074781e-04       4.586055787770e-04 
       1.390345950551e-04       4.791472902962e-04 
       1.455870936489e-04       5.006308836382e-04 
       1.524484019875e-04       5.179314976850e-04 
       1.596330738259e-04       5.416602488170e-04 
       1.671563488162e-04       5.685533714529e-04 
       1.750341848334e-04       5.922372845077e-04 
       1.832832918239e-04       6.193056461201e-04 
       1.919211672495e-04       6.475781832894e-04 
       2.009661332022e-04       6.771209229112e-04 
       2.104373752675e-04       7.079933399686e-04 
       2.203549832195e-04       7.401962376789e-04 
       2.307399936344e-04       7.738617935084e-04 
       2.416144345116e-04       8.090455245206e-04 
       2.530013719983e-04       8.462421901803e-04 
       2.649249593155e-04       8.845118247372e-04 
       2.774104879905e-04       9.246149258186e-04 
       2.904844415035e-04       9.664567843286e-04 
       3.041745514630e-04       1.012227230495e-03 
       3.185098564275e-04       1.058790150033e-03 
       3.335207635008e-04       1.106754417064e-03 
       3.492391128294e-04       1.156761609812e-03 
       3.656982451396e-04       1.207444823221e-03 
       3.829330724578e-04       1.261334092279e-03 
       4.009801521634e-04       1.318478846659e-03 
       4.198777645321e-04       1.378291628010e-03 
       4.396659939334e-04       1.440918397185e-03 
       4.603868138548e-04       1.506265814384e-03 
       4.820841759336e-04       1.574717728811e-03 
       5.048041031836e-04       1.647735456467e-03 
       5.285947876168e-04       1.722366606693e-03 
       5.535066924645e-04       1.800677056839e-03 
       5.795926592168e-04       1.882190929973e-03 
       6.069080197066e-04       1.967188121164e-03 
       6.355107134759e-04       2.055934936333e-03 
       6.654614106728e-04       2.149419876428e-03 
       6.968236407417e-04       2.246260322178e-03 
       7.296639271774e-04       2.348297636426e-03 
       7.640519286304e-04       2.454509284244e-03 
       8.000605866622e-04       2.564967276888e-03 
       8.377662804643e-04       2.681263016347e-03 
       8.772489888686e-04       2.802650623559e-03 
       9.185924599931e-04       2.929292118411e-03 
       9.618843888831e-04       3.061654911798e-03 
       1.007216603524e-03       3.200066502195e-03 
       1.054685259621e-03       3.344750591332e-03 
       1.104391044557e-03       3.495888180191e-03 
       1.156439390968e-03       3.653836143220e-03 
       1.210940700373e-03       3.818859724099e-03 
       1.268010577357e-03       3.991311106266e-03 
       1.327770074781e-03       4.171555107363e-03 
       1.390345950551e-03       4.360377607526e-03 
       1.455870936489e-03       4.557519376118e-03 
       1.524484019875e-03       4.763558022144e-03 
       1.596330738259e-03       4.978556077200e-03 
       1.671563488162e-03       5.203225388453e-03 
       1.750341848334e-03       5.437862105792e-03 
       1.832832918239e-03       5.682848305905e-03 
       1.919211672495e-03       5.938826413962e-03 
       2.009661332022e-03       6.205917955707e-03 
       2.104373752675e-03       6.485059261627e-03 
       2.203549832195e-03       6.776346792589e-03 
       2.307399936344e-03       7.080518101362e-03 
       2.416144345116e-03       7.398053580261e-03 
       2.530013719983e-03       7.729474172657e-03 
       2.649249593155e-03       8.075327123648e-03 
       2.774104879905e-03       8.436232034016e-03 
       2.904844415035e-03       8.812782277165e-03 
       3.041745514630e-03       9.205772346602e-03 
       3.185098564275e-03       9.615397156547e-03 
       3.335207635008e-03       1.004262796956e-02 
       3.492391128294e-03       1.048803695068e-02 
       3.656982451396e-03       1.095219334706e-02 
       3.829330724578e-03       1.143582711926e-02 
       4.009801521634e-03       1.193937586131e-02 
       4.198777645321e-03       1.246386360841e-02 
       4.396659939334e-03       1.300978833674e-02 
       4.603868138548e-03       1.357767872900e-02 
       4.820841759336e-03       1.416810754053e-02 
       5.048041031836e-03       1.478210589352e-02 
       5.285947876168e-03       1.541958571556e-02 
       5.535066924645e-03       1.608141610426e-02 
       5.795926592168e-03       1.676821646086e-02 
       6.069080197066e-03       1.748022791632e-02 
       6.355107134759e-03       1.821722507165e-02 
       6.654614106728e-03       1.898024929291e-02 
       6.968236407417e-03       1.976922436892e-02 
       7.296639271774e-03       2.058397146055e-02 
       7.640519286304e-03       2.142412271518e-02 
       8.000605866622e-03       2.228909524917e-02 
       8.377662804643e-03       2.317912577526e-02 
       8.772489888686e-03       2.409299965558e-02 
       9.185924599931e-03       2.502951116588e-02 
       9.618843888831e-03       2.598716994216e-02 
       1.007216603524e-02       2.696438187493e-02 
       1.054685259621e-02       2.795893128944e-02 
       1.104391044557e-02       2.896822312694e-02 
       1.156439390968e-02       2.998920608720e-02 
       1.210940700373e-02       3.101829659846e-02 
       1.268010577357e-02       3.205121252907e-02 
       1.327770074781e-02       3.308346716152e-02 
       1.390345950551e-02       3.410915986578e-02 
       1.455870936489e-02       3.512254938670e-02 
       1.524484019873e-02       3.611666213904e-02 
       1.596330738246e-02       3.708395382096e-02 
       1.671563488095e-02       3.801615622447e-02 
       1.750341848014e-02       3.890429042059e-02 
       1.832832916819e-02       3.973873194126e-02 
       1.919211666680e-02       4.050932962628e-02 
       2.009661309914e-02       4.120542271665e-02 
       2.104373674442e-02       4.181611175834e-02 
       2.203549573758e-02       4.233037399986e-02 
       2.307399137048e-02       4.273735496847e-02 
       2.416142024169e-02       4.302666920599e-02 
       2.530007375203e-02       4.318871929615e-02 
       2.649233220566e-02       4.321511613936e-02 
       2.774064895998e-02       4.309910758319e-02 
       2.904751776455e-02       4.283604300082e-02 
       3.041541409894e-02       4.242386685072e-02 
       3.184669999539e-02       4.186360102923e-02 
       3.334348326400e-02       4.115983858852e-02 
       3.490742856905e-02       4.032111663592e-02 
       3.653953159820e-02       3.936017558921e-02 
       3.823988874050e-02       3.829396821918e-02 
       4.000751843778e-02       3.714326760375e-02 
       4.184030493153e-02       3.593183492005e-02 
       4.373512469828e-02       3.468510381134e-02 
       4.568817155142e-02       3.342854515787e-02 
       4.769542975907e-02       3.218587195267e-02 
       4.975318848539e-02       3.097758087620e-02 
       5.185847850796e-02       2.981981774852e-02 
       5.400934962364e-02       2.872398433465e-02 
       5.620496903447e-02       2.769655459264e-02 
       5.844557307831e-02       2.673954014298e-02 
       6.073232845066e-02       2.585091006926e-02 
       6.306715689829e-02       2.502521549434e-02 
       6.545256183550e-02       2.425415328308e-02 
       6.789147792875e-02       2.352719608511e-02 
       7.038715133709e-02       2.283223207887e-02 
       7.294305022270e-02       2.215622435803e-02 
       7.556280131172e-02       2.148598273394e-02 
       7.825014712733e-02       2.080906159391e-02 
       8.100891875496e-02       2.011464735614e-02 
       8.384301980983e-02       1.939458087572e-02 
       8.675641821117e-02       1.864420257651e-02 
       8.975314321885e-02       1.786308968384e-02 
       9.283728588738e-02       1.705543306055e-02 
       9.601300163183e-02       1.622994810831e-02 
       9.928451400326e-02       1.539928272258e-02 
       1.026561190646e-01       1.457886009198e-02 
       1.061321899693e-01       1.378524547313e-02 
       1.097171814958e-01       1.303422377764e-02 
       1.134156343985e-01       1.233881628043e-02 
       1.172321795148e-01       1.170748788848e-02 
       1.211715416219e-01       1.114281740231e-02 
       1.252385430809e-01       1.064082433310e-02 
       1.294381073385e-01       1.019114111343e-02 
       1.337752623785e-01       9.778212925829e-03 
       1.382551442404e-01       9.383529690080e-03 
       1.428830007366e-01       8.988805878025e-03 
       1.476641955169e-01       8.579688457922e-03 
       1.526042126413e-01       8.149122597934e-03 
       1.577086618378e-01       7.699373884607e-03 
       1.629832846295e-01       7.241720603870e-03 
       1.684339615320e-01       6.793532195266e-03 
       1.740667205296e-01       6.373336106745e-03 
       1.798877470530e-01       5.995291550102e-03 
       1.859033956929e-01       5.664817991440e-03 
       1.921202038960e-01       5.376786096953e-03 
