### The result of the verage over time 
### d tau = 0.238644
### number of kessence update = 10
### initial time = 11.9322
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
  11.9322	        0	        0	 (32 , 32 , 32) 
  12.1708	1.00906e-06	-9.02337e-09	 (32 , 32 , 32) 
  12.4142	2.07486e-06	-7.92349e-09	 (32 , 32 , 32) 
  12.6625	3.07412e-06	-6.78923e-09	 (32 , 32 , 32) 
  12.9158	4.03944e-06	-5.55755e-09	 (32 , 32 , 32) 
  13.1741	4.97482e-06	-4.17693e-09	 (32 , 32 , 32) 
  13.4376	5.88276e-06	-2.60722e-09	 (32 , 32 , 32) 
  13.7063	6.7656e-06	-8.17687e-10	 (32 , 32 , 32) 
  13.9805	7.62553e-06	1.21486e-09	 (32 , 32 , 32) 
  14.2601	8.46459e-06	3.50751e-09	 (32 , 32 , 32) 
  14.5453	9.28475e-06	6.07251e-09	 (32 , 32 , 32) 
  14.8362	1.00878e-05	8.91832e-09	 (32 , 32 , 32) 
  15.1329	1.08756e-05	1.20505e-08	 (32 , 32 , 32) 
  15.4356	1.16497e-05	1.54724e-08	 (32 , 32 , 32) 
  15.7443	1.24117e-05	1.91858e-08	 (32 , 32 , 32) 
  16.0591	1.31631e-05	2.31913e-08	 (32 , 32 , 32) 
  16.3803	1.39052e-05	2.74891e-08	 (32 , 32 , 32) 
  16.7079	1.46395e-05	3.20787e-08	 (32 , 32 , 32) 
  17.0421	1.53673e-05	3.69598e-08	 (32 , 32 , 32) 
  17.3829	1.60896e-05	4.21322e-08	 (32 , 32 , 32) 
  17.7306	1.68078e-05	4.75959e-08	 (32 , 32 , 32) 
  18.0852	1.75229e-05	5.33515e-08	 (32 , 32 , 32) 
  18.4469	1.82361e-05	5.94002e-08	 (32 , 32 , 32) 
  18.8159	1.89483e-05	6.57439e-08	 (32 , 32 , 32) 
  19.1922	1.96606e-05	7.2385e-08	 (32 , 32 , 32) 
   19.576	2.03739e-05	7.93272e-08	 (32 , 32 , 32) 
  19.9675	2.10893e-05	8.65745e-08	 (32 , 32 , 32) 
  20.3669	2.18075e-05	9.41322e-08	 (32 , 32 , 32) 
  20.7742	2.25296e-05	1.02006e-07	 (32 , 32 , 32) 
  21.1897	2.32564e-05	1.10204e-07	 (32 , 32 , 32) 
